gt_type,scram_cond,stim_num,run,subject,lag,kappa
actual,intact,1,1,0,-2,-0.020242914979756943
actual,intact,1,1,1,-2,-0.04672897196261694
actual,intact,1,1,2,-2,-0.0828729281767957
actual,intact,1,1,3,-2,-0.04672897196261694
actual,intact,1,1,4,-2,-0.05586592178770955
actual,intact,1,1,5,-2,-0.09406657018813314
actual,intact,1,1,6,-2,-0.06329113924050622
actual,intact,1,1,7,-2,-0.04672897196261694
actual,intact,1,1,8,-2,-0.035211267605633756
actual,intact,1,1,9,-2,-0.020242914979756943
actual,intact,1,1,10,-2,0.25296442687747034
actual,intact,1,1,11,-2,0.0
actual,intact,1,1,12,-2,0.0
actual,intact,1,1,13,-2,-0.035211267605633756
actual,intact,1,1,14,-2,0.2808219178082191
actual,intact,1,1,15,-2,-0.04672897196261694
actual,intact,1,1,16,-2,-0.035211267605633756
actual,intact,1,1,17,-2,0.26056338028169024
actual,intact,1,1,18,-2,0.14936708860759496
actual,intact,1,1,19,-2,-0.020242914979756943
actual,intact,1,1,20,-2,-0.04672897196261694
actual,intact,1,1,21,-2,-0.04672897196261694
actual,intact,1,1,22,-2,-0.035211267605633756
actual,intact,1,1,23,-2,-0.035211267605633756
actual,intact,1,1,24,-2,-0.06329113924050622
actual,intact,1,1,25,-2,0.2149532710280373
actual,intact,1,1,26,-2,0.0
actual,intact,1,1,27,-2,-0.020242914979756943
actual,intact,1,1,28,-2,-0.05586592178770955
actual,intact,1,1,29,-2,0.22651933701657445
actual,intact,1,1,30,-2,-0.04672897196261694
actual,intact,1,1,31,-2,-0.04672897196261694
actual,intact,1,1,32,-2,-0.06329113924050622
actual,intact,1,1,33,-2,-0.07462686567164178
actual,intact,1,1,34,-2,0.2149532710280373
actual,intact,1,1,35,-2,-0.07905138339920947
actual,intact,1,1,36,-2,-0.035211267605633756
actual,intact,1,1,37,-2,-0.09174311926605494
actual,intact,1,1,38,-2,-0.04672897196261694
actual,intact,1,1,39,-2,0.0
actual,intact,1,1,40,-2,-0.035211267605633756
actual,intact,1,1,41,-2,-0.020242914979756943
actual,intact,1,1,42,-2,0.10447761194029848
actual,intact,1,1,0,-1,-0.020000000000000018
actual,intact,1,1,1,-1,-0.04615384615384621
actual,intact,1,1,2,-1,0.07272727272727275
actual,intact,1,1,3,-1,-0.04615384615384621
actual,intact,1,1,4,-1,-0.05517241379310356
actual,intact,1,1,5,-1,-0.09285714285714297
actual,intact,1,1,6,-1,0.36250000000000004
actual,intact,1,1,7,-1,-0.04615384615384621
actual,intact,1,1,8,-1,0.26086956521739135
actual,intact,1,1,9,-1,-0.020000000000000018
actual,intact,1,1,10,-1,-0.07804878048780495
actual,intact,1,1,11,-1,0.0
actual,intact,1,1,12,-1,0.0
actual,intact,1,1,13,-1,-0.03478260869565197
actual,intact,1,1,14,-1,-0.10140845070422544
actual,intact,1,1,15,-1,-0.04615384615384621
actual,intact,1,1,16,-1,-0.03478260869565197
actual,intact,1,1,17,-1,0.26086956521739135
actual,intact,1,1,18,-1,-0.0625
actual,intact,1,1,19,-1,-0.020000000000000018
actual,intact,1,1,20,-1,-0.04615384615384621
actual,intact,1,1,21,-1,-0.04615384615384621
actual,intact,1,1,22,-1,-0.03478260869565197
actual,intact,1,1,23,-1,-0.03478260869565197
actual,intact,1,1,24,-1,-0.0625
actual,intact,1,1,25,-1,-0.04615384615384621
actual,intact,1,1,26,-1,0.0
actual,intact,1,1,27,-1,-0.020000000000000018
actual,intact,1,1,28,-1,-0.05517241379310356
actual,intact,1,1,29,-1,-0.08181818181818179
actual,intact,1,1,30,-1,0.21538461538461529
actual,intact,1,1,31,-1,-0.04615384615384621
actual,intact,1,1,32,-1,-0.0625
actual,intact,1,1,33,-1,-0.0736842105263158
actual,intact,1,1,34,-1,-0.04615384615384621
actual,intact,1,1,35,-1,-0.07804878048780495
actual,intact,1,1,36,-1,-0.03478260869565197
actual,intact,1,1,37,-1,-0.09056603773584904
actual,intact,1,1,38,-1,-0.04615384615384621
actual,intact,1,1,39,-1,0.0
actual,intact,1,1,40,-1,-0.03478260869565197
actual,intact,1,1,41,-1,-0.020000000000000018
actual,intact,1,1,42,-1,-0.0736842105263158
actual,intact,1,1,0,0,-0.01976284584980248
actual,intact,1,1,1,0,0.4772036474164133
actual,intact,1,1,2,0,-0.08078994614003587
actual,intact,1,1,3,0,-0.0455927051671734
actual,intact,1,1,4,0,-0.05449591280653965
actual,intact,1,1,5,0,0.15091678420310295
actual,intact,1,1,6,0,-0.061728395061728225
actual,intact,1,1,7,0,-0.0455927051671734
actual,intact,1,1,8,0,0.26116838487972505
actual,intact,1,1,9,0,-0.01976284584980248
actual,intact,1,1,10,0,0.2543352601156069
actual,intact,1,1,11,0,0.0
actual,intact,1,1,12,0,0.0
actual,intact,1,1,13,0,-0.03436426116838498
actual,intact,1,1,14,0,-0.10011123470522798
actual,intact,1,1,15,0,-0.0455927051671734
