exp_subject_id,scram_cond,stim_num,response1_vals,response2_vals
377777,8B,2,17032;50468;65005,17059;33344;50913;65177
377777,2B,1,3514;4799;9427;12514;16665;21029;23361;27393;36977;44722;49421;58487;61976;68733;75194;77104,6924;27737;37522;45708;61284;78082
377777,intact,3,19268,
377777,2B,2,9289;13029;21058;25075;31931;32774;37485;38545;46555;49287;52978;60644;64960;68847;71044;73227;78051;79418,9095;12697;17145;20834;30399;32556;40841;49174;50644;52740;57484;60732;62455;64661;68730;70927;74520;79103
377777,8B,1,19766;37219;68502,20539;30398;36435;68582
377777,1B,3,5613;9147;11036;20521;35547;39443;45165;50141;53553;58907;62387;69361,5090;11263;19992;41491;49475;52684;55996;59483;61310;63665;67602;70048;71130;77435;78744
377777,1B,1,3272;7371;30799;33816;35848;43862;62212;66159;70906;79528,4166;5079;6104;9658;15604;18365;19821;26849;35548;42909;44672;47050;50111;53878;57438;64856;73391;75014;79557
377777,2B,3,5159;9483;17667;26020;29439;33697;40974;47377;49860;53939;58047;63260;65025;68961,4793;8322;9358;13041;17649;23207;26586;28800;33021;36036;38457;41320;44132;50351;53476;54895;58118;63147;67280;73604
377777,intact,1,35456,61475;66692;67799
377777,1B,2,13839;27812;35808;53198;55516;59387;69288;77696,3591;10259;13202;28396;52885;55238;59359;61046;69082;77193
377777,intact,2,32117;49779,48917
377777,8B,3,1328,61234
377770,intact,1,13188;34904;66705,35119;66997
377770,1B,3,7072;12572;17324;20976;26982;29083;34660;45429;47167;49345;53184;57485;61203;69145;71015;78671,4856;8586;12469;14834;20510;28529;34722;38935;45084;48945;53422;61276;69097;79316
377770,2B,3,14012;20237;25198;34758;41215;45186;53711;57231;63974;68143,4973;13113;20362;26060;33089;37533;41394;45420;52900;56850;63153;75099
377770,intact,2,12961;19264;31320;44938;49096;65376,12796;20122;31023;45092;49987;65717
377770,1B,2,10498;14909;18429;23270;30463;44621;55225;60055;69449;75422;79745,9105;17267;23416;30159;37221;44503;53116;60508;69056;74149
377770,8B,3,13260;22654;28132;32917;48877;64101;71878,12852;32707;48668;61351
377770,2B,1,13880;21856;29544;36860;49356;56771;65340;69828;76472,5432;13242;17422;21481;25419;29203;35792;49982;56714;65218;69277;73522
377770,8B,2,19344;33303;48042;66259,17152;26425;35676;47985;64804
377770,intact,3,18484;35425;51408,18131;51452
377770,1B,1,5245;13990;28543;35814;42811;65054;76879,7581;15600;33409;44012;60084;71788
377770,8B,1,18947;35348;47052;68799,18913;35348;53971;69822
377770,2B,2,9326;27254;44843;64764,25993;39292;47003;70268
377747,1B,3,5071;11010;18938;30663;52005;60105;71366;80248,7732;17895;26195;31275;39376;46626;52230;60172;71438;81268
377747,2B,3,2576;21487;26243;45289;54315;57755;65963;66926,9285;19640;25309;33657;40129;45954;53165;56801;65225;71652;79762
377747,intact,1,1244;6211;14604;26539;37097;45734;49849;61616;68552,3569;7912;13597;16622;29427;44493;60634;66938;76978
377747,8B,3,2352;13590;16461;28616;34364;44010;51873;61837;67408;71701;72074;72256,1929;8946;11937;29957;43155;46012;48471
377747,1B,2,18805;24373;42099;43050;52158;60927,13334;17020;22409;31881;49958;56125;60470;66212;75533
377747,intact,2,10879;22044;37519;50204,9129;26474;45758;50508;65559
377747,2B,1,14333;29361;45878;64469,16820;23214;29741;49242;55072;75877
377747,intact,3,18446;30042;45443;48796;52672;61307;76195;78169,204;493;33880;52567;69367
377747,8B,2,10491;17495;25045;27563;35617;45613;66014;77223,17121;26378;28280;39328;56155;69994
377747,1B,1,5351;14325;23603;34686;42871;47347;60515;65572;72651,273;455;5208;14743;19287;26533;38336;46921;54805;61640;71116
377747,2B,2,4038;9866;19438;35605;38359;43729;54020;62498;65891;72020,5059;16545;19293;34726;39324;45970;55030;64722;70949;79087
377747,8B,1,13957;19890;35047;44815;54091;63766;80612,13399;17025;35077;45650;50692;61919;65772;69215;80023
377708,2B,3,5194;21015;57705,10592;41096;56868
377708,8B,1,19993;37024;69850,20222;50671;82205
377708,1B,3,19048;27451;54739;65685,14122;46925;66726
377708,1B,2,14799;32948;46123;64674,35367;56061
377708,intact,2,35508;55344;78100,49293;66065
377708,2B,2,9487;45528;73638,46081;65047
377708,1B,1,6646;19443;42698,9572;20173;36492;69499
377708,8B,3,13357;36144;52498,20836;48850;64208
377708,intact,1,35075;63623;69912,35602;64244;70468
377708,2B,1,5428;29354,5191;25594;43872
377708,8B,2,17862;65136,17595;45441
377708,intact,3,18390;36617;51653,19559;37263;51196
377703,8B,2,16872;25116;32663;41120;54170;55646;65063,16637;24670;32706;41159;46651;59624;65176
377703,2B,1,8806;17598;22075;25588;29128;37075;50082;57271;65110;69106;73111;76863,4685;7617;12671;16636;20703;23163;25116;28644;33673;33901;36702;48183;52646;57350;61733;64684;68664;73209;77603
377703,intact,3,17111;36593;50147;71075;83140,16602;34104;50216;68135
377703,8B,1,19125;35112;45100;52700;67395,19253;44017;52595;67171;69168
377703,2B,2,5668;18523;28133;41130;68591,5606;14150;18137;28163;40115;59610;66645;79587
377703,1B,3,5519;14073;23114;34106;44978;63600;71022,5617;9378;14611;26193;41216;47554;58132;67186;75134
377703,2B,3,5566;14746;19854;24918;33962;43104;54032;73062;81229,9192;16569;19212;24610;33591;46147;53183;57580;63160;75091;81455
377703,intact,1,19137;35341;51405;67370,35105;67091
377703,1B,1,5503;11569;15179;28453;34000;42420;47645;68884,4633;14667;24667;33384;42383;47583;57194;79610
377703,1B,2,11619;19784;23088;30326;38478;47178;72830,8828;16635;24195;33590;49142;65140;72867
